Comment,Distance,Fo
OK08-DF-Ol08,96.24,79.46066858
OK08-DF-Ol08,115.49,79.41463094
OK08-DF-Ol08,134.74,79.49434607
OK08-DF-Ol08,153.99,79.44145698
OK08-DF-Ol08,173.23,79.41550175
OK08-DF-Ol07,0,77.58143065
OK08-DF-Ol07,46.93,77.08226109
OK08-DF-Ol07,93.85,75.84616405
OK08-DF-Ol07,140.78,75.30081009
OK08-DF-Ol07,187.71,75.16258773
OK08-DF-Ol07,234.63,74.96676923
OK08-DF-Ol07,281.56,75.0138817
OK08-DF-Ol07,328.49,74.94762964
OK08-DF-Ol07,375.42,74.8390806
OK08-DF-Ol07,422.34,74.89468291
OK08-DF-Ol06,30.71,79.90634945
OK08-DF-Ol06,61.42,79.99852212
OK08-DF-Ol06,92.12,79.94649424
OK08-DF-Ol06,122.83,79.91130323
OK08-DF-Ol06,153.54,79.64689123
OK08-DF-Ol06,184.25,79.45334638
OK08-DF-Ol06,214.96,79.07733848
OK08-DF-Ol06,245.66,79.0080571
OK08-DF-Ol06,276.37,79.08459724
OK08-DF-Ol05,29.11,80.40755345
OK08-DF-Ol05,58.22,81.16998206
OK08-DF-Ol05,87.34,81.29616988
OK08-DF-Ol05,116.45,81.24983006
OK08-DF-Ol05,145.56,81.33730018
OK08-DF-Ol05,174.67,81.12940868
OK08-DF-Ol05,203.78,81.09814032
OK08-DF-Ol05,232.9,81.06067743
OK08-DF-Ol05,262.01,80.95522322
OK08-DF-Ol04,0,79.93586242
OK08-DF-Ol04,25.85,83.07187833
OK08-DF-Ol04,51.71,82.28471049
OK08-DF-Ol04,77.56,81.24892825
OK08-DF-Ol04,103.42,80.65330393
OK08-DF-Ol04,129.27,80.35928057
OK08-DF-Ol04,155.13,80.16287031
OK08-DF-Ol04,180.98,80.16514189
OK08-DF-Ol04,206.84,80.22378523
OK08-DF-Ol04,232.69,80.31969889
OK08-DF-Ol03,0,72.4607628
OK08-DF-Ol03,18.81,72.39260309
OK08-DF-Ol03,37.62,72.53957571
OK08-DF-Ol03,56.43,72.32049285
OK08-DF-Ol03,75.24,72.32548048
OK08-DF-Ol03,94.05,72.31468754
OK08-DF-Ol03,112.86,72.25336353
OK08-DF-Ol03,131.67,72.33284554
OK08-DF-Ol03,150.48,72.24398098
OK08-DF-Ol03,169.29,72.24637278
OK08-DF-Ol02,39.7,78.70808399
OK08-DF-Ol02,79.39,77.61273206
OK08-DF-Ol02,119.09,76.43256851
OK08-DF-Ol02,158.78,75.55804992
OK08-DF-Ol02,198.48,74.55992325
OK08-DF-Ol02,238.17,74.22319039
OK08-DF-Ol02,277.87,73.64079954
OK08-DF-Ol02,317.57,73.58259381
OK08-DF-Ol02,357.26,73.53782483
OK08-DF-Ol01,12.15,80.36657105
OK08-DF-Ol01,24.3,80.49854227
OK08-DF-Ol01,36.44,80.3023354
OK08-DF-Ol01,48.59,80.1835053
OK08-DF-Ol01,60.74,79.96244945
OK08-DF-Ol01,72.89,80.00939444
OK08-DF-Ol01,85.03,79.94891682
OK08-DF-Ol01,97.18,80.006065
OK08-DF-Ol01,109.33,80.11903015
OK08-DF-Ol15,0,80.37477553
OK08-DF-Ol15,15.67,80.1478473
OK08-DF-Ol15,31.33,79.16962047
OK08-DF-Ol15,47,78.39264081
OK08-DF-Ol15,62.67,77.97208255
OK08-DF-Ol15,78.33,77.48475539
OK08-DF-Ol15,94,77.19185035
OK08-DF-Ol15,109.67,77.06610889
OK08-DF-Ol15,125.33,76.72156802
OK08-DF-Ol15,141,76.98577965
OK08-DF-Ol16,24.56,78.7631297
OK08-DF-Ol16,49.12,79.59380985
OK08-DF-Ol16,73.67,79.69918048
OK08-DF-Ol16,98.23,79.79092965
OK08-DF-Ol16,122.79,79.82957758
OK08-DF-Ol16,147.35,79.91802783
OK08-DF-Ol16,171.9,79.93517967
OK08-DF-Ol16,196.46,80.11681166
OK08-DF-Ol16,221.02,79.9831556
OK08-DF-Ol17,0,83.90487856
OK08-DF-Ol17,14.57,83.83208592
OK08-DF-Ol17,29.14,84.05396942
OK08-DF-Ol17,43.71,84.04384861
OK08-DF-Ol17,58.28,84.22918321
OK08-DF-Ol17,72.85,84.15966584
OK08-DF-Ol17,87.42,84.27401187
OK08-DF-Ol17,102,84.34779438
OK08-DF-Ol17,116.57,84.23602979
OK08-DF-Ol17,131.14,84.36438576
OK08-DF-Ol18,26.82,78.21855241
