Sample,Code,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5
OK08RH22,Ash-RH,47.77838158,0.799154943,19.0849415,8.967534103,0.264088305,7.272191746,13.43666101,2.093355237,0.259946409,0.043745167
OK08RH23,Ash-RH,47.85414945,0.917424841,18.39183387,9.395156502,0.279858682,7.862332089,12.82711169,2.074831851,0.326524132,0.07077689
OK08RH24,Ash-RH,47.54342631,1.065260859,15.20041917,12.66372175,0.352668697,8.922112331,11.95286805,1.802054329,0.305638952,0.191829564
OK08RH25,Ash-RH,50.59127859,1.212187097,15.05096206,11.65245935,0.330094694,7.105126165,10.8674629,2.536781254,0.515271581,0.138376316
OK08RH26,Ash-RH,50.54525083,1.201914214,15.41639628,11.21164353,0.336765821,6.74648221,11.1927434,2.621400759,0.508703935,0.218699026
OK08RH31-02,Ash-RH,48.10960554,1.184159194,16.45569284,12.61534584,0.356867262,7.303170882,10.80584823,2.30126867,0.682003498,0.186038055
OK08RH39,Ash-RH,46.05482542,0.618772499,16.47985218,14.7928298,0.388105828,7.411878534,12.0862013,1.958836018,0.194052914,0.014645503
OK08RH40,Ash-RH,49.94006878,1.022033907,16.00521069,10.8141356,0.347331836,7.574721447,11.6855205,2.111937255,0.379270396,0.119769599
OK08RH44,Ash-RH,47.67033149,1.051298683,16.65639403,13.72442982,0.370821717,6.951591098,10.70795494,2.34726324,0.405227855,0.114687129
OK08RH45,Ash-RH,48.3078822,0.883797646,17.38508282,10.15597582,0.328161151,8.063704539,12.37689615,2.106943756,0.316973839,0.07458208
OK08RH45-2,Ash-RH,48.59507204,0.922580132,17.48161722,9.826587729,0.291724943,7.566858425,12.56605193,2.322859859,0.320897437,0.105750292
OK08RH46,Ash-RH,46.85374198,1.030562368,17.81631905,11.0775527,0.315643448,7.820042339,12.31009446,2.336301074,0.315643448,0.124099133
OK08RH47,Ash-RH,49.11944718,1.145972758,16.13975727,12.20546084,0.396091255,7.187759939,10.83290356,2.507296102,0.349944701,0.115366385
OK08RH49,Ash-RH,52.53010397,1.531101696,14.47163126,11.87759938,0.376946356,6.4741621,8.700854565,2.957280181,0.847157792,0.233162695
OK08RH50,Ash-RH,48.51393355,1.258870258,15.92117261,12.83090246,0.367759851,7.375774236,10.42740622,2.585634641,0.568613307,0.149932862
OK08RH52,Ash-RH,50.3254591,1.271180424,14.92657797,13.8395563,0.384558784,5.810913632,10.16588266,2.634939815,0.491380668,0.149550638
OK08RH55,Ash-RH,46.39872692,0.962562231,16.77661145,14.01628922,0.372485768,7.293049401,11.67613802,2.035763799,0.313478121,0.154895072
OK08RH60,Ash-RH,49.11025864,0.995946836,17.24483772,10.8464193,0.331982278,6.903464684,11.61937976,2.389542775,0.459667771,0.098500237
OK08RH62,Ash-RH,50.84574514,1.320284921,15.9206502,10.80997125,0.34202367,6.164637209,11.18012857,2.662635885,0.536940386,0.216982759
OK10BF01,Scoria-BF,54.01997047,1.613042411,15.39348428,10.47398124,0.280399113,4.829721592,8.630554813,3.289849582,1.109079389,0.359917111
OK10BF02,Scoria-BF,51.68474087,1.342135771,15.83408387,10.61235016,0.276441102,5.964520501,10.80362793,2.693307049,0.594675183,0.194117562
OK10BF03,Scoria-BF,52.95910495,1.33605394,15.95210132,9.937785843,0.298064353,5.70962338,10.60778357,2.7882575,0.658562315,0.22946684
OK10BF04,Scoria-BF,51.2590715,1.433388429,15.46163631,11.00778784,0.301587496,6.312297751,10.61578477,2.758414823,0.68050733,0.169523743
10JFLOK002A,L-Scoria-MI,53.44776565,14.64913651,1.34002493,10.25438418,0.146220956,7.714657725,8.858386028,2.82426779,0.765156238,0
10JFLOK002A,L-Scoria-MI,51.59226148,16.45017089,0.996221548,9.987628497,0.114139956,7.472162227,10.15945734,2.673277924,0.554680139,0
10JFLOK002A,L-Scoria-MI,51.49064674,15.47801796,1.042880855,11.33044162,0.222006379,7.44980629,9.967941535,2.19713195,0.719863204,0.101263469
10JFLOK002A,L-Scoria-MI,52.16059151,16.21494791,1.083859482,8.864218861,0.211558758,6.657204093,11.45156347,2.576505293,0.53995063,0.239599996
10JFLOK002A,L-Scoria-MI,50.63141678,16.02431034,0.842081419,10.63123476,0.158097834,7.797498062,10.16914116,2.942522453,0.604100135,0.199597064
